0,1,2,3,4,5
tt0452661,Dominic Lees,"Jimmy Gardner, Dominic Lees",5.2,1h 35min,"After his father's death, Adam hitchhikes to London from his hometown in Poland to find his older brother, a former Polish football star, now supplying illegal migrant workers to the booming construction industry in London. To the impressionable young man it seems his brother has everything - wealth, status, women. Adam soon discovers that beneath the surface glamor l... Leer todo"
tt0452644,Michael James Rowland,"Helen Barnes, Michael James Rowland",7.1,1h 45min,Three mismatched blokes are stranded in the Australian desert.
tt0452623,Ben Affleck,"Ben Affleck, Aaron Stockard, Dennis Lehane",7.6,1h 54min,
tt0452631,Tony Ayres,Tony Ayres,7.2,1h 43min,"A man remembers his childhood and his mother, a Chinese night club singer who struggled to survive in Australia with her two children."
tt0453472,Filip Jan Rymsza,Filip Jan Rymsza,7.9,2h 22min,"""Dustclouds"" is an epic fever-dream, chronicling a long night's journey into day. As his wedding carriage rides beneath a starlit night, Getz vows to enjoy the fruits of his labor. Having worked his whole life, he has finally married. Yet as he lies in his bride's embrace, Getz already starts to question his happiness. Deep within, he yearns for ""the perfect,"" which p... Leer todo"
tt0455782,Richard Shepard,"Richard Shepard, Scott Anderson",6.8,1h 41min,
tt0455915,Brad Gann,Brad Gann,6.9,1h 35min,A teenage boy longs to win the attention of his emotionally distant father.
tt0453548,David Gordon Green,"David Gordon Green, Stewart O'Nan",6.8,1h 47min,"A drama that interweaves the life of a teenager, with his old baby sitter, her estranged husband, and their daughter."
tt0456340,Julio Medem,Julio Medem,6.3,1h 58min,"A countdown, 10, 9, 8, 7... until 0, like in hypnosis, through which Ana proves that she does not live alone."
tt0454065,Esteban Sapir,Esteban Sapir,7.3,1h 39min,
tt0456521,Alexis Durand-Brault,"Martin Girard, Pierre Szalowski",6.1,1h 25min,"As he navigates through porn sites without the knowledge of his wife, Germain comes across a video of his only daughter announcing her impending live performance. The political advisor of Quebec, who previously believed their loved Nathalie immersed in law school in Montreal, went illico in the city to prevent the irreparable. But the girl is not found, and Germain do... Leer todo"
tt0454517,Morten Nørgaard,Morten Nørgaard,5.6,1h 50min,"Thomas, Dennis, Mads, Søs and Kirsten have all been friends through many years in spite of their differences. In common for them all is the big step they need to overcome to enter adulthood."
tt0457286,Juwan Chung,"Felix Chan, Juwan Chung",5.4,1h 40min,"A tragic tale of an Asian youth's gang life in South East Los Angeles, set during the mid 80's to the early 90s."
tt0457474,Brinton Bryan,"Brinton Bryan, Christopher S. Bryson",7.4,11min,"A dramatic piece about a dysfunctional couple who in the midst of a major argument, make decisions that will change their lives forever."
tt0458050,Ameer Sultan,"Gautam Siddharth, Ameer Sultan",8.2,2h 42min,
tt0458500,Ray Loriga,Ray Loriga,4.7,1h 37min,
tt0459605,Vidhu Vinod Chopra,"Vidhu Vinod Chopra, Abhijat Joshi, Swanand Kirkire",6.0,1h 45min,"As the kingdom of Devigarh comes apart at the seams, an aging bodyguard attempts to protect the Royal Family, as well as keep its darkest secrets from ever coming to light."
tt0459759,Anton Megerdichev,"Aleksey Sidorov, Alexander Dorbinyan",5.8,2h 15min,"A young Russian boxer makes a comeback after going against all odds. When he accidentally kills his opponent in the ring, the son of a powerful mafia kingpin, he must fight for his own life."
tt0459652,Aditya Raj Kapoor,Aditya Raj Kapoor,4.5,1h 44min,"Set in Birmingham, it is the story of a girl and her two friends who start a multi-cultural-ethnic band. Against their parents wishes they put together spirit and energy to express themselves."
tt0459293,Feroz Abbas Khan,"Feroz Abbas Khan, Chandulal Dalal, Neelamben Parikh",7.3,2h 16min,The account of troubled relationship between Mahatma Gandhi and his eldest son.
tt0459913,Peeter Simm,"Aleksandr Borodyanskiy, Asta Ots, Mati Põldre",6.5,1h 45min,A movie about the life of legendary Estonian singer Georg Ots.
tt0459102,Ulrich Seidl,"Veronika Franz, Ulrich Seidl",7.0,2h 21min,"A nurse from Ukraine searches for a better life in Central Europe, while an unemployed security guard from Austria heads East for the same reason."
tt0460873,John Irvin,"Peter Barnes, Fabio Carpi",6.0,1h 42min,"Together in Rome to shoot a film, a German actress (McCormack) and an English actor (Pryce) contend with forces that complicate their romance as well as the production itself."
tt0460808,Lamberto Bava,"Lamberto Bava, Silvia Ranfagni",4.4,1h 37min,"A widowed newlywed stays on her deceased husband's South African farm, then bears a child who seems to be possessed by the dead man."
tt0460745,Marcos Siega,Daniel Taplitz,6.6,1h 27min,
tt0462302,"Mary Mc, Guckian",,4.8,1h 33min,"An eclectic group of people drawn from all walks of life find themselves under one roof for twenty-eight days with one thing in common, addiction."
tt0462023,Richard Roxburgh,"Nick Drake, Raimond Gaita",6.6,1h 44min,"It tells the story of Romulus, his beautiful wife, Christina, and their struggle in the face of great adversity to bring up their son, Raimond. It is a story of impossible love that ultimately celebrates the unbreakable bond between father and son."
